Eatery Restaurant,4.7,491,Shivala Rd,Restaurant,,
Krishna's Restaurant,3.7,387,D 37/32,Family-friendly,,
Silver Spoon Restaurant,3.9,367,"D52, 94, Godowliya-Luxa Rd, near Silver Spoon Restaurant",North Indian,,
Shahi Restaurant,4.0,124,"Luxa Rd, near Annapurna telwala Dharmsala, opposite Bank of baroda",Restaurant,,
The Taste Factory,4.2,"2,754","Mahmoorganj Rd, near Ashirvad Hospital",Family-friendly,,
Virtual Experiential Museum,4.6,244,8256+39P,Museum,,
Kashi Dham Museum,4.7,"1,003","Rajmandir, K 20/125 Brahma Ghat",Museum,,
Kashi Shastrarth Sthal,4.0,1,72Q2+M66,Museum,,
Banaras Toy Museum,3.8,8,"D-10/5, Vishwanath Gali",Religious goods store,,
,,,,,,
Eatery Restaurant,4.7,492,Shivala Rd,Indian,,
Krishna's Restaurant,3.7,390,D 37/32,Family-friendly,,
Silver Spoon Restaurant,3.9,367,"D52, 94, Godowliya-Luxa Rd, near Silver Spoon Restaurant",North Indian,,
Moti Mahal Varanasi Restaurant,3.8,222,"N 16/65, A Sudamapur, Badi Gaibi Rd",Restaurant,,
The Taste Factory,4.2,"2,762","Mahmoorganj Rd, near Ashirvad Hospital",Family-friendly,,
,,,,,,
Eatery Restaurant,4.7,492,Shivala Rd,Indian,,
Krishna's Restaurant,3.7,390,D 37/32,Family-friendly,,
Silver Spoon Restaurant,3.9,367,"D52, 94, Godowliya-Luxa Rd, near Silver Spoon Restaurant",North Indian,,
Moti Mahal Varanasi Restaurant,3.8,222,"N 16/65, A Sudamapur, Badi Gaibi Rd",Restaurant,,
,,,,,,
1916 Cafe & Restaurant,4.6,984,"police booth, 1916, inside hotel ganesha palace, opposite Girja Ghar Chauraha",Indian,Open ⋅ Closes 11 pm,
The Taste Factory,4.2,"2,763","Mahmoorganj Rd, near Ashirvad Hospital",Family-friendly,,
Satvik Restaurant,4.4,875,Luxa Rd,Family-friendly,,
Charcoal Fine Dining ll Best Restaurant in Varanasi ll Fine Dine Restaurant in Varanasi,4.7,"1,035","14, Sigra - Mahmoorganj Rd",Fine Dining,,
GRAVY WALA FAMILY RESTAURANT,4.3,70,"HIG 38/1, Kabir Nagar Rd",Restaurant,,
,,,,,,
Eatery Restaurant,4.7,492,Shivala Rd,Indian,,
Krishna's Restaurant,3.7,390,D 37/32,Family-friendly,,
Silver Spoon Restaurant,3.9,367,"D52, 94, Godowliya-Luxa Rd, near Silver Spoon Restaurant",North Indian,,
Moti Mahal Varanasi Restaurant,3.8,222,"N 16/65, A Sudamapur, Badi Gaibi Rd",Restaurant,,
Shahi Restaurant,4.0,128,"Luxa Rd, near Annapurna telwala Dharmsala, opposite Bank of baroda",Indian,,
,,,,,,
Eatery Restaurant,4.7,492,Shivala Rd,Indian,,
Krishna's Restaurant,3.7,390,D 37/32,Family-friendly,,
Silver Spoon Restaurant,3.9,367,"D52, 94, Godowliya-Luxa Rd, near Silver Spoon Restaurant",North Indian,,
Moti Mahal Varanasi Restaurant,3.8,222,"N 16/65, A Sudamapur, Badi Gaibi Rd",Restaurant,,
Shahi Restaurant,4.0,128,"Luxa Rd, near Annapurna telwala Dharmsala, opposite Bank of baroda",Indian,,
Virtual Experiential Museum,4.6,244,8256+39P,Museum,,
Kashi Dham Museum,4.7,"1,006","Rajmandir, K 20/125 Brahma Ghat",Museum,,
Kashi Shastrarth Sthal,4.0,1,72Q2+M66,Museum,,
Sampurnanand University Archaeological Museum,4.5,665,8XHX+323,Archaeological museum,,
Bharat Kala Bhavan Museum,4.5,"1,194","Banaras Hindu University, Semi Circle Road No. 3 Opp Institute of Mgmt Studies",Museum,Open ⋅ Closes 4:30 pm,
Eatery Restaurant,4.7,492,Shivala Rd,Indian,,
Krishna's Restaurant,3.7,390,D 37/32,Family-friendly,,
Silver Spoon Restaurant,3.9,367,"D52, 94, Godowliya-Luxa Rd, near Silver Spoon Restaurant",North Indian,,
Moti Mahal Varanasi Restaurant,3.8,222,"N 16/65, A Sudamapur, Badi Gaibi Rd",Restaurant,,
Virtual Experiential Museum,4.6,244,8256+39P,Museum,,
Kashi Dham Museum,4.7,"1,006","Rajmandir, K 20/125 Brahma Ghat",Museum,,
Kashi Shastrarth Sthal,4.0,1,72Q2+M66,Museum,,
Sampurnanand University Archaeological Museum,4.5,665,8XHX+323,Archaeological museum,,
Bharat Kala Bhavan Museum,4.5,"1,194","Banaras Hindu University, Semi Circle Road No. 3 Opp Institute of Mgmt Studies",Museum,Open ⋅ Closes 4:30 pm,
Eatery Restaurant,4.7,492,Shivala Rd,Indian,,
Krishna's Restaurant,3.7,390,D 37/32,Family-friendly,,
Silver Spoon Restaurant,3.9,367,"D52, 94, Godowliya-Luxa Rd, near Silver Spoon Restaurant",North Indian,,
Moti Mahal Varanasi Restaurant,3.8,222,"N 16/65, A Sudamapur, Badi Gaibi Rd",Restaurant,,
Shahi Restaurant,4.0,128,"Luxa Rd, near Annapurna telwala Dharmsala, opposite Bank of baroda",Indian,,
Virtual Experiential Museum,4.6,244,8256+39P,Museum,,
Kashi Dham Museum,4.7,"1,006","Rajmandir, K 20/125 Brahma Ghat",Museum,,
Kashi Shastrarth Sthal,4.0,1,72Q2+M66,Museum,,
Sampurnanand University Archaeological Museum,4.5,665,8XHX+323,Archaeological museum,,
Bharat Kala Bhavan Museum,4.5,"1,194","Banaras Hindu University, Semi Circle Road No. 3 Opp Institute of Mgmt Studies",Museum,Open ⋅ Closes 4:30 pm,
,,,,,,
Eatery Restaurant,4.7,492,Shivala Rd,Indian,,
Krishna's Restaurant,3.7,390,D 37/32,Family-friendly,,
Silver Spoon Restaurant,3.9,367,"D52, 94, Godowliya-Luxa Rd, near Silver Spoon Restaurant",North Indian,,
Moti Mahal Varanasi Restaurant,3.8,222,"N 16/65, A Sudamapur, Badi Gaibi Rd",Restaurant,,
The Taste Factory,4.2,"2,763","Mahmoorganj Rd, near Ashirvad Hospital",Family-friendly,,
Virtual Experiential Museum,4.6,244,8256+39P,Museum,,
Kashi Dham Museum,4.7,"1,006","Rajmandir, K 20/125 Brahma Ghat",Museum,,
Kashi Shastrarth Sthal,4.0,1,72Q2+M66,Museum,,
Sampurnanand University Archaeological Museum,4.5,665,8XHX+323,Archaeological museum,,
Bharat Kala Bhavan Museum,4.5,"1,194","Banaras Hindu University, Semi Circle Road No. 3 Opp Institute of Mgmt Studies",Museum,Open ⋅ Closes 4:30 pm,
Eatery Restaurant,4.7,492,Shivala Rd,Indian,,
Krishna's Restaurant,3.7,390,D 37/32,Family-friendly,,
Silver Spoon Restaurant,3.9,367,"D52, 94, Godowliya-Luxa Rd, near Silver Spoon Restaurant",North Indian,,
Moti Mahal Varanasi Restaurant,3.8,222,"N 16/65, A Sudamapur, Badi Gaibi Rd",Restaurant,,
,,,,,,
